type,value,context,score,reason
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\MulticastResponderFlags,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\MaxNegativeCacheTtl,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\MaxCachedSockets,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\MaxCacheTtl,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\MaxCacheSize,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\ForceQueriesOverTcp,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\FilterVPNTrigger,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\FilterClusterIp,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\EnableMulticast,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\EnableMultiHomedRouteConflicts,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\EnableMDNS,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\EnableIdnMapping,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\EnableDAForAllNetworks,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DynamicServerQueryOrder,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DowncaseSpnCauseApiOwnerIsTooLazy,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DomainNameDevolutionLevel,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DnsTest,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DnsSecureNameQueryFallback,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DnsQuickQueryTimeouts,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DnsQueryTimeouts,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DisableSmartProtocolReordering,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DisableSmartNameResolution,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DisableServerUnreachability,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DisableParallelAandAAAA,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DisableNRPTForAdapterRegistration,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DisableIdnEncoding,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DisableCoalescing,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DirectAccessQueryOrder,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\DirectAccessPreferLocal,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\CacheAllCompartments,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\AppendToMultiLabelName,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\AllowUnqualifiedQuery,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\AddrConfigControl,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\Parameters\AdapterTimeoutLimit,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Dnscache\InterfaceSpecificParameters\{EA6FD18D-F89D-4A0C-8A5D-902B6821BFEF},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\AmdPPM\MofImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\ACPI\MofImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\ACPI\ImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\Winlogon\UserenvDebugLevel,registry,50,persistence_pattern
suspicious_command,"\xfeff<?xml version=""1.0"" encoding=""utf-8"" standalone=""yes""?>
<assembly xmlns=""urn:schemas-microsoft-com:asm.v3"" manifestVersion=""1.0"" description=""DNS Server Tools include the DNS Manager snap-in, dnscmd.exe command-line tool and Windows PowerShell module f",behavior,40,lolbin_or_susp_cmd
dropped_file,['store.db'],7ee890ad952344835ec079e28c449514a384ecefa5a1a72116180425a9b7ce7d,20,has_hash_hint
dropped_file,['fdf80694651dc47b27eb9e4c75e65215ca84e4eb0fc25a28cf8776edde9bf670.exe'],fdf80694651dc47b27eb9e4c75e65215ca84e4eb0fc25a28cf8776edde9bf670,20,has_hash_hint
dropped_file,['WuProvider.7b06b7f5-0c59-4550-a8c2-3cffafc2ddc1.1.etl'],108c9d1eb897c8bd5cdd55abbe1871960848cc4dac1accdf224a9bcb86c47521,20,has_hash_hint
dropped_file,['MoUsoCoreWorker.a1ceb3e0-afc0-4ce7-b257-5e7595da7674.1.etl'],e739306e3d0d7020febb02eff89110f565505c05398d46045dacbbcf295eff84,20,has_hash_hint
dropped_file,['BIT57FA.tmp'],faf85165b7dfa00e5395f2ef0c5c8905644e02ed94c7ebd479a28a85763f5576,20,has_hash_hint
regkey,HKEY_USERS\S-1-5-18,registry,0,low_signal
